sweep_id,sampling_method,points,step_mm,simulation_grid_pitch_mm,declared_sensor_pitch_mm,exact_image_plateau_transitions,longest_exact_image_plateau_points,exact_metric_plateau_transitions,index_boundary_transitions,selected_center_index_change_transitions,longest_selected_center_index_plateau_points,largest_raw_image_relative_l1_change,largest_normalized_image_mean_abs_change,largest_max_tolerance_normalized_delta,largest_jump_centroid_x_px,largest_tolerance_normalized_jump_centroid_x_px,largest_abs_derivative_centroid_x_px_per_mm,constant_transition_count_centroid_x_px,longest_constant_plateau_points_centroid_x_px,derivative_sign_changes_centroid_x_px,derivative_spikes_centroid_x_px,largest_jump_centroid_y_px,largest_tolerance_normalized_jump_centroid_y_px,largest_abs_derivative_centroid_y_px_per_mm,constant_transition_count_centroid_y_px,longest_constant_plateau_points_centroid_y_px,derivative_sign_changes_centroid_y_px,derivative_spikes_centroid_y_px,largest_jump_sigma_x_px,largest_tolerance_normalized_jump_sigma_x_px,largest_abs_derivative_sigma_x_px_per_mm,constant_transition_count_sigma_x_px,longest_constant_plateau_points_sigma_x_px,derivative_sign_changes_sigma_x_px,derivative_spikes_sigma_x_px,largest_jump_sigma_y_px,largest_tolerance_normalized_jump_sigma_y_px,largest_abs_derivative_sigma_y_px_per_mm,constant_transition_count_sigma_y_px,longest_constant_plateau_points_sigma_y_px,derivative_sign_changes_sigma_y_px,derivative_spikes_sigma_y_px,largest_jump_peak_intensity,largest_tolerance_normalized_jump_peak_intensity,largest_abs_derivative_peak_intensity_per_mm,constant_transition_count_peak_intensity,longest_constant_plateau_points_peak_intensity,derivative_sign_changes_peak_intensity,derivative_spikes_peak_intensity
main_camera_x_mm,production_searchsorted,121,0.0015,0.47244094488188904,0.0055,67,4,0,53,0,121,0.007779032827847086,0.2657188386559899,6.938378627115062,0.5453614120936692,0.5453614120936692,363.5742747291128,0,1,0,0,7.105427357601002e-15,7.105427357601002e-15,4.736951571734001e-12,120,121,16,0,0.13799657338260118,0.06899828669130059,91.9977155884008,67,4,31,0,1.4210854715202004e-14,7.105427357601002e-15,9.473903143468002e-12,119,119,15,0,0.37130376735033177,6.938378627115062,247.53584490022118,119,91,0,0
main_camera_x_mm,bilinear_intensity,121,0.0015,0.47244094488188904,0.0055,0,1,0,54,0,121,0.0015795976408447985,0.0023051627908002364,0.27085461846967007,0.27085461846967007,0.27085461846967007,180.5697456464467,0,1,0,0,7.105427357601002e-15,7.105427357601002e-15,4.736951571734001e-12,120,121,32,0,0.01098664271302141,0.005493321356510705,7.324428475347607,0,1,0,0,1.4210854715202004e-14,7.105427357601002e-15,9.473903143468002e-12,119,110,45,0,0.002440008451674469,0.04575267687058087,1.6266723011163127,0,1,49,0
main_camera_y_mm,production_searchsorted,121,0.0015,0.47244094488188904,0.0055,62,4,0,58,0,121,0.008631771957594021,0.004356766425486803,0.2727272727272876,1.4210854715202004e-14,1.4210854715202004e-14,9.473903143468002e-12,105,31,14,0,0.2727272727272876,0.2727272727272876,181.81818181819173,0,1,60,0,7.105427357601002e-15,3.552713678800501e-15,4.736951571734001e-12,120,121,13,0,0.206282091639153,0.1031410458195765,137.521394426102,62,4,29,0,0.0,0.0,0.0,120,121,0,0
main_camera_y_mm,bilinear_intensity,121,0.0015,0.47244094488188904,0.0055,0,1,0,57,0,121,0.001210888915547239,0.0017219031205061304,0.2581386184285748,0.0,0.0,0.0,120,121,0,0,0.2581386184285748,0.2581386184285748,172.0924122857165,0,1,0,0,1.4210854715202004e-14,7.105427357601002e-15,9.473903143468002e-12,119,85,23,0,0.008561160115306166,0.004280580057653083,5.707440076870777,0,1,1,0,0.0018089774052150176,0.03388109567033045,1.2059849368100117,0,1,60,0
main_lens_x_mm,production_searchsorted,121,0.0015,0.47244094488188904,0.0055,0,1,0,0,0,121,0.015743465269492014,0.01909966539232872,0.33184367730624403,0.16970495557181664,0.16970495557181664,113.13663704787776,0,1,3,0,1.9348078694747528e-11,1.9348078694747528e-11,1.2898719129831685e-08,62,11,59,17,0.20174963058596518,0.10087481529298259,134.4997537239768,0,1,3,0,6.977529665164184e-12,3.488764832582092e-12,4.651686443442789e-09,58,18,63,17,0.01467968614050863,0.33184367730624403,9.786457427005754,0,1,5,0
main_lens_x_mm,bilinear_intensity,121,0.0015,0.47244094488188904,0.0055,0,1,0,0,0,121,0.01025954463217019,0.01490646436057311,0.3901664416543156,0.3901664416543156,0.3901664416543156,260.11096110287707,0,1,3,0,1.0885514711844735e-11,1.0885514711844735e-11,7.257009807896489e-09,68,19,51,16,0.05761245437300033,0.028806227186500166,38.40830291533356,0,1,5,0,9.734435479913373e-13,4.867217739956686e-13,6.489623653275581e-10,90,83,55,15,0.014501445239052724,0.328067864573977,9.667630159368482,0,1,5,0
main_lens_y_mm,production_searchsorted,121,0.0015,0.47244094488188904,0.0055,0,1,0,0,0,121,0.01632181114249148,0.013516183496943427,0.32808951728632274,1.8118839761882555e-11,1.8118839761882555e-11,1.2079226507921703e-08,52,16,45,17,0.29765073766790806,0.29765073766790806,198.43382511193872,0,1,3,0,1.0437872788315872e-11,5.218936394157936e-12,6.958581858877247e-09,59,21,58,18,0.15512739243479245,0.07756369621739623,103.41826162319497,0,1,3,0,0.01572228167382672,0.32808951728632274,10.481521115884481,0,1,6,0
main_lens_y_mm,bilinear_intensity,121,0.0015,0.47244094488188904,0.0055,0,1,0,0,0,121,0.010385828526793494,0.012950915686272955,0.40832891997714427,9.322320693172514e-12,9.322320693172514e-12,6.214880462115009e-09,49,18,42,8,0.40832891997714427,0.40832891997714427,272.21927998476286,0,1,3,0,1.3429257705865894e-12,6.714628852932947e-13,8.952838470577262e-10,90,58,29,5,0.04869642741011404,0.02434821370505702,32.46428494007603,0,1,6,0,0.015551406878215879,0.32558677555769167,10.367604585477252,0,1,6,0
sensor_clipping_boundary_camera_x_mm,production_searchsorted,81,0.003750000000000142,0.47244094488188904,0.0055,10,2,0,70,0,81,0.023814149167916642,0.005781033362142715,1.5965641161679969,1.5965641161679969,1.5965641161679969,425.75043097811636,0,1,0,0,3.552713678800501e-14,3.552713678800501e-14,9.473903143467643e-12,38,5,24,0,0.4212737944980134,0.2106368972490067,112.33967853279931,8,2,29,0,7.105427357601002e-14,3.552713678800501e-14,1.8947806286935287e-11,28,5,0,0,0.0,0.0,0.0,80,81,0,0
sensor_clipping_boundary_camera_x_mm,bilinear_intensity,81,0.003750000000000142,0.47244094488188904,0.0055,0,1,0,70,0,81,0.007511112130708121,0.004637871468126048,0.6597673341196924,0.6597673341196924,0.6597673341196924,175.93795576524462,0,1,0,0,2.842170943040401e-14,2.842170943040401e-14,7.579122514774115e-12,47,33,3,0,0.0310533704761653,0.01552668523808265,8.280898793643766,0,1,1,0,7.105427357601002e-15,3.552713678800501e-15,1.8947806286935287e-12,80,81,7,0,1.6669994758549919e-07,0.05198126165995574,4.4453319356131434e-05,0,1,51,0
