sampling_method,image_sum,captured_power,centroid_x_px,centroid_y_px,sigma_x_px,sigma_y_px,peak_intensity
production_searchsorted,9454.005983721348,2.8598368100757076e-07,68.98129179411853,53.69433073545143,36.39027846698641,33.907551400159385,1.0702897241706675
bilinear_intensity,11844.257985420843,3.582888040589805e-07,69.71303940980016,59.76307552901575,36.660200161281224,36.60691643969123,1.0671395036637716
bilinear_complex_field,5372.525607858377,1.625188996377159e-07,66.48166085869683,57.40785247117384,35.97852385560535,44.6345659697645,1.0520862058723859
