power_w,expected_field_amplitude_ratio_if_active,expected_intensity_ratio_if_active,source_peak_amplitude,source_integrated_intensity,camera_grid_integrated_intensity,captured_power,unnormalized_sensor_sum,unnormalized_sensor_max,normalized_sensor_sum,source_hash,camera_field_hash,sensor_image_hash,centroid_x_px,centroid_y_px,sigma_x_px,sigma_y_px,peak_intensity,ratio_to_1x_source_peak_amplitude,ratio_to_1x_source_integrated_intensity,ratio_to_1x_camera_grid_integrated_intensity,ratio_to_1x_captured_power,ratio_to_1x_unnormalized_sensor_sum,ratio_to_1x_unnormalized_sensor_max,ratio_to_1x_normalized_sensor_sum,ratio_to_1x_centroid_x_px,ratio_to_1x_centroid_y_px,ratio_to_1x_sigma_x_px,ratio_to_1x_sigma_y_px,ratio_to_1x_peak_intensity,exact_source_equal_to_1x,exact_camera_field_equal_to_1x,exact_sensor_image_equal_to_1x
0.25,0.5,0.25,0.8944017471055457,1.570796325223666e-06,1.570796325223666e-06,2.8598368100757076e-07,9454.005983721348,1.0702897241706675,8833.127862688722,f12df84fb780df7e0bfc2fa7bc2e02719be73f8ae61e91a0a58498c820ed8927,494996cb2bfdba5af692e59916cc4d2203c29b10ce70952cf5a0f509222e9486,d7a98a57304dc6cc0c0e5c09e67b9c1eea75b63993886cddb38bb5f0eccec272,68.98129179411853,53.69433073545143,36.39027846698641,33.907551400159385,1.0702897241706675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
0.5,0.7071067811865476,0.5,0.8944017471055457,1.570796325223666e-06,1.570796325223666e-06,2.8598368100757076e-07,9454.005983721348,1.0702897241706675,8833.127862688722,f12df84fb780df7e0bfc2fa7bc2e02719be73f8ae61e91a0a58498c820ed8927,494996cb2bfdba5af692e59916cc4d2203c29b10ce70952cf5a0f509222e9486,d7a98a57304dc6cc0c0e5c09e67b9c1eea75b63993886cddb38bb5f0eccec272,68.98129179411853,53.69433073545143,36.39027846698641,33.907551400159385,1.0702897241706675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
1.0,1.0,1.0,0.8944017471055457,1.570796325223666e-06,1.570796325223666e-06,2.8598368100757076e-07,9454.005983721348,1.0702897241706675,8833.127862688722,f12df84fb780df7e0bfc2fa7bc2e02719be73f8ae61e91a0a58498c820ed8927,494996cb2bfdba5af692e59916cc4d2203c29b10ce70952cf5a0f509222e9486,d7a98a57304dc6cc0c0e5c09e67b9c1eea75b63993886cddb38bb5f0eccec272,68.98129179411853,53.69433073545143,36.39027846698641,33.907551400159385,1.0702897241706675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
2.0,1.4142135623730951,2.0,0.8944017471055457,1.570796325223666e-06,1.570796325223666e-06,2.8598368100757076e-07,9454.005983721348,1.0702897241706675,8833.127862688722,f12df84fb780df7e0bfc2fa7bc2e02719be73f8ae61e91a0a58498c820ed8927,494996cb2bfdba5af692e59916cc4d2203c29b10ce70952cf5a0f509222e9486,d7a98a57304dc6cc0c0e5c09e67b9c1eea75b63993886cddb38bb5f0eccec272,68.98129179411853,53.69433073545143,36.39027846698641,33.907551400159385,1.0702897241706675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
4.0,2.0,4.0,0.8944017471055457,1.570796325223666e-06,1.570796325223666e-06,2.8598368100757076e-07,9454.005983721348,1.0702897241706675,8833.127862688722,f12df84fb780df7e0bfc2fa7bc2e02719be73f8ae61e91a0a58498c820ed8927,494996cb2bfdba5af692e59916cc4d2203c29b10ce70952cf5a0f509222e9486,d7a98a57304dc6cc0c0e5c09e67b9c1eea75b63993886cddb38bb5f0eccec272,68.98129179411853,53.69433073545143,36.39027846698641,33.907551400159385,1.0702897241706675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True
