sweep_id,sampling_method,position_field,axis,requested_position_mm,effective_position_mm,displacement_from_reference_mm,step_mm,declared_sensor_pitch_mm,constructed_sensor_coordinate_step_mm,simulation_grid_pitch_mm,selected_center_index,selected_index_min,selected_index_max,selected_index_unique_count,selected_index_signature,center_sensor_coordinate_mm,center_fractional_grid_index,index_boundary_crossed,captured_power,image_sum,image_max,stored_centroid_x_px,sensor_frame_centroid_x_px,image_derived_centroid_x_px,stored_centroid_y_px,sensor_frame_centroid_y_px,image_derived_centroid_y_px,stored_sigma_x_px,sensor_frame_sigma_x_px,image_derived_sigma_x_px,stored_sigma_y_px,sensor_frame_sigma_y_px,image_derived_sigma_y_px,stored_peak_intensity,sensor_frame_peak_intensity,image_derived_peak_intensity,delta_centroid_x_px,tolerance_normalized_delta_centroid_x_px,derivative_centroid_x_px_per_mm,delta_centroid_y_px,tolerance_normalized_delta_centroid_y_px,derivative_centroid_y_px_per_mm,delta_sigma_x_px,tolerance_normalized_delta_sigma_x_px,derivative_sigma_x_px_per_mm,delta_sigma_y_px,tolerance_normalized_delta_sigma_y_px,derivative_sigma_y_px_per_mm,delta_peak_intensity,tolerance_normalized_delta_peak_intensity,derivative_peak_intensity_per_mm,max_tolerance_normalized_delta,exact_image_plateau,raw_image_relative_l1_change,normalized_image_mean_abs_change,normalized_image_relative_l2_change,exact_metric_plateau
main_camera_x_mm,production_searchsorted,camera_x_mm,x,-0.01999999999999999,-0.01999999999999999,-0.09,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,a01d45973f19bb6f,-0.017247311827956868,511.20593333334466,False,1.572784611702755e-06,51992.87972571091,6.690509729299775,505.02073224982604,508.65709588618967,508.65987215973826,504.3139154721346,511.58664274486193,511.5865581328064,121.3375120376614,121.3375120376614,121.21901837356211,120.89739679757508,120.89739679757508,120.77933293351494,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
main_camera_x_mm,bilinear_intensity,camera_x_mm,x,-0.01999999999999999,-0.01999999999999999,-0.09,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,204be38fc1777760,-0.017247311827956868,511.20593333334466,False,1.5672365653616314e-06,51809.473235095254,6.5089979217477865,510.6315613043106,514.2679249406742,514.2652218889743,509.5214493574141,516.7941766301414,516.789006535776,121.4363591337778,121.4363591337778,121.31776893931121,120.92547706671193,120.92547706671193,120.80738578051397,6.5089979217477865,6.5089979217477865,6.5089979217477865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
main_camera_x_mm,production_searchsorted,camera_x_mm,x,-0.01849999999999999,-0.01849999999999999,-0.0885,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,d7da67560df78977,-0.01574731182795667,511.23150833334466,True,1.569271752550368e-06,51876.7521504254,6.690509729299775,505.47577941648234,508.83941578011866,508.84201400689585,504.3139154721346,511.5866427448619,511.5865581328064,121.42396450716478,121.42396450716478,121.30538641682574,120.89739679757508,120.89739679757508,120.77933293351494,6.690509729299775,6.690509729299775,6.690509729299775,0.45504716665629985,0.45504716665629985,303.36477777086657,0.0,0.0,0.0,0.08645246950338503,0.043226234751692516,57.63497966892335,0.0,0.0,0.0,0.0,0.0,0.0,0.45504716665629985,False,0.01663223738712783,0.0001232637646023548,0.08776564699705461,False
main_camera_x_mm,bilinear_intensity,camera_x_mm,x,-0.01849999999999999,-0.01849999999999999,-0.0885,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,4ca17e0e9f4895b1,-0.01574731182795667,511.23150833334466,True,1.567236553532174e-06,51809.47284403881,6.55277708590506,510.6267129044556,513.9903492680919,513.9879172863848,509.52144935741416,516.7941766301415,516.789006535776,121.43457515348572,121.43457515348572,121.3159867011874,120.92547706671196,120.92547706671196,120.80738578051397,6.55277708590506,6.55277708590506,6.55277708590506,-0.004848399855006846,0.004848399855006846,-3.232266570004564,5.684341886080802e-14,5.684341886080802e-14,3.789561257387201e-11,-0.001783980292074716,0.000891990146037358,-1.1893201947164773,2.842170943040401e-14,1.4210854715202004e-14,1.8947806286936004e-11,0.04377916415727334,0.13451890654627163,29.18610943818223,0.13451890654627163,False,0.011101787446391672,9.194853692184434e-05,0.012199925319753663,False
main_camera_x_mm,production_searchsorted,camera_x_mm,x,-0.016999999999999987,-0.016999999999999987,-0.087,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,768ba8faca8ccfed,-0.014247311827956903,511.25708333334467,True,1.5696252969021562e-06,51888.43956701343,6.690509729299775,505.3616657025365,508.45257479344565,508.4555507946239,504.3139154721346,511.5866427448619,511.5865581328064,121.31386921100554,121.31386921100554,121.19539863560415,120.89739679757508,120.89739679757508,120.77933293351494,6.690509729299775,6.690509729299775,6.690509729299775,-0.11411371394581238,0.11411371394581238,-76.07580929720825,0.0,0.0,0.0,-0.11009529615924407,0.055047648079622036,-73.39686410616271,0.0,0.0,0.0,0.0,0.0,0.0,0.11411371394581238,False,0.01236079014305939,9.140288244861519e-05,0.057800940741593074,False
main_camera_x_mm,bilinear_intensity,camera_x_mm,x,-0.016999999999999987,-0.016999999999999987,-0.087,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,5f6f856b5502a7be,-0.014247311827956903,511.25708333334467,True,1.5671374468207462e-06,51806.19658911558,6.559047980204477,510.6325921966769,513.723501287586,513.7213298996098,509.52144935741416,516.7941766301415,516.789006535776,121.4340972360328,121.4340972360328,121.31550925045076,120.92547706671196,120.92547706671196,120.80738578051397,6.559047980204477,6.559047980204477,6.559047980204477,0.005879292221322885,0.005879292221322885,3.91952814754859,0.0,0.0,0.0,-0.0004779174529261354,0.0002389587264630677,-0.31861163528409026,0.0,0.0,0.0,0.006270894299417407,0.019139653973293307,4.180596199611604,0.019139653973293307,False,0.01107253805092154,8.360652871364276e-05,0.010283234960798266,False
main_camera_x_mm,production_searchsorted,camera_x_mm,x,-0.015499999999999986,-0.015499999999999986,-0.08549999999999999,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,626dc96ba8a8399e,-0.012747311827956704,511.28265833334467,True,1.5724157737146386e-06,51980.686734368224,6.690509729299775,505.0934055675272,507.911587385709,507.9150916949026,504.3139154721346,511.5866427448619,511.5865581328064,121.5606771418541,121.5606771418541,121.44196554308274,120.89739679757508,120.89739679757508,120.77933293351495,6.690509729299775,6.690509729299775,6.690509729299775,-0.26826013500931367,0.26826013500931367,-178.84009000620912,0.0,0.0,0.0,0.24680793084856134,0.12340396542428067,164.53862056570756,0.0,0.0,0.0,0.0,0.0,0.0,0.26826013500931367,False,0.009579036520703039,7.08489339019354e-05,0.05750082439866773,False
main_camera_x_mm,bilinear_intensity,camera_x_mm,x,-0.015499999999999986,-0.015499999999999986,-0.08549999999999999,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,c6f7f16d2c9bfd46,-0.012747311827956704,511.28265833334467,True,1.5671667606448046e-06,51807.16564115057,6.521186803877822,510.64046790653856,513.4586497247204,513.4567369808485,509.52144935741416,516.7941766301414,516.789006535776,121.43648711728602,121.43648711728602,121.31789679783554,120.92547706671193,120.92547706671193,120.80738578051397,6.521186803877822,6.521186803877822,6.521186803877822,0.007875709861650648,0.007875709861650648,5.2504732411004325,0.0,0.0,0.0,0.00238988125322237,0.001194940626611185,1.5932541688149133,-2.842170943040401e-14,1.4210854715202004e-14,-1.8947806286936004e-11,-0.03786117632665498,0.11544716989697842,-25.240784217769985,0.11544716989697842,False,0.011121969808768896,9.28680842542717e-05,0.011782564698588039,False
main_camera_x_mm,production_searchsorted,camera_x_mm,x,-0.013999999999999985,-0.013999999999999985,-0.08399999999999999,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,07ba29d69b3387f8,-0.011247311827956939,511.3082333333446,True,1.5628610215595648e-06,51664.82715899388,6.690509729299775,505.15344598093014,507.69890052638465,507.70261253758935,504.3139154721346,511.5866427448619,511.5865581328064,121.4477001061879,121.4477001061879,121.32909883655296,120.89739679757508,120.89739679757508,120.77933293351494,6.690509729299775,6.690509729299775,6.690509729299775,0.060040413402930426,0.060040413402930426,40.02694226862028,0.0,0.0,0.0,-0.11297703566620498,0.05648851783310249,-75.31802377746999,0.0,0.0,0.0,0.0,0.0,0.0,0.060040413402930426,False,0.012049979075959564,8.928308452659108e-05,0.07564094048016791,False
main_camera_x_mm,bilinear_intensity,camera_x_mm,x,-0.013999999999999985,-0.013999999999999985,-0.08399999999999999,0.0015,0.0055,0.005505376344086021,0.058651026392960576,512,464,560,97,f6d83b8caa2ee823,-0.011247311827956939,511.3082333333446,True,1.567264294315066e-06,51810.38989471293,6.523434061900143,510.62914640307423,513.1746009485288,513.17296559604,509.52144935741416,516.7941766301414,516.789006535776,121.4344485452144,121.4344485452144,121.31586021655694,120.92547706671196,120.92547706671196,120.807385780514,6.523434061900143,6.523434061900143,6.523434061900143,-0.011321503464330362,0.011321503464330362,-7.547668976220241,0.0,0.0,0.0,-0.0020385720716262767,0.0010192860358131384,-1.359048047750851,2.842170943040401e-14,1.4210854715202004e-14,1.8947806286936004e-11,0.0022472580223205085,0.006892174967244234,1.498172014880339,0.011321503464330362,False,0.011023741441696589,8.357985602049518e-05,0.010162296200120232,False
