episode_id,setup_id,setup_hash,arm,beam_width_quartile,boundary_status,direction,k,amplitude,width_ratio,strict_success,final_normalized_target_distance,control_steps,saturation_count,constraint_violation_count,all_diagnostic_decisions_correct,any_diagnostic_decision_wrong
v12_mpcdiag_reflsig_iid_20260801_02_0004__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0004,f110f547597b3ba86814f763dcd4e94ff793b86b9f81e29c5906ec45fc03f255,oracle_diagnosis,Q1,boundary,south,2.75,0.5,0.8,False,3.573533932101895,4,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0004__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0004,f110f547597b3ba86814f763dcd4e94ff793b86b9f81e29c5906ec45fc03f255,learned_image_diagnostic,Q1,boundary,south,2.75,0.5,0.8,False,3.573533932101895,4,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0005__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0005,f534c08d3bc47361da50480743b5172eb2a8519a4918ccb91081382527c0b0e7,no_diagnosis,Q1,boundary,south_west,2.75,0.4,0.8,False,5.126294085976156,6,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0005__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0005,f534c08d3bc47361da50480743b5172eb2a8519a4918ccb91081382527c0b0e7,oracle_diagnosis,Q1,boundary,south_west,2.75,0.4,0.8,True,0.0836666030608626,4,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0005__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0005,f534c08d3bc47361da50480743b5172eb2a8519a4918ccb91081382527c0b0e7,learned_image_diagnostic,Q1,boundary,south_west,2.75,0.4,0.8,True,0.3076460841041353,5,0,0,False,True
v12_mpcdiag_reflsig_iid_20260801_02_0006__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0006,5cc2c819274b132e507db113bbdf167544d78734992c2b57c663aec38584d5d3,no_diagnosis,Q1,boundary,west,2.25,0.4,0.8,False,2.1636944386700634,2,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0006__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0006,5cc2c819274b132e507db113bbdf167544d78734992c2b57c663aec38584d5d3,oracle_diagnosis,Q1,boundary,west,2.25,0.4,0.8,True,0.7401273476447727,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0006__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0006,5cc2c819274b132e507db113bbdf167544d78734992c2b57c663aec38584d5d3,learned_image_diagnostic,Q1,boundary,west,2.25,0.4,0.8,False,2.1636944386700634,2,0,0,False,True
v12_mpcdiag_reflsig_iid_20260801_02_0007__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0007,c97f4b5688da07ffc3a2af4355b387b363c995050ea0aa745674fe91a4788124,no_diagnosis,Q1,boundary,south_east,2.75,0.4,0.8,False,15.85788575106153,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0007__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0007,c97f4b5688da07ffc3a2af4355b387b363c995050ea0aa745674fe91a4788124,oracle_diagnosis,Q1,boundary,south_east,2.75,0.4,0.8,True,0.35178660425196995,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0007__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0007,c97f4b5688da07ffc3a2af4355b387b363c995050ea0aa745674fe91a4788124,learned_image_diagnostic,Q1,boundary,south_east,2.75,0.4,0.8,True,0.35178660425196995,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0008__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0008,d8570185dcbad4550435ee354b8037eda5ecdbad49f36d9313a100eb9fdc8e9f,no_diagnosis,Q1,boundary,south_west,2.75,0.4,0.8,False,21.7734085116507,8,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0008__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0008,d8570185dcbad4550435ee354b8037eda5ecdbad49f36d9313a100eb9fdc8e9f,oracle_diagnosis,Q1,boundary,south_west,2.75,0.4,0.8,False,13.0582524515965,5,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0008__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0008,d8570185dcbad4550435ee354b8037eda5ecdbad49f36d9313a100eb9fdc8e9f,learned_image_diagnostic,Q1,boundary,south_west,2.75,0.4,0.8,False,13.0582524515965,5,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0009__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0009,9115dd2676f377677df90dd391de0993e0d5a54d00714e9cb5d23f349fc26dc2,no_diagnosis,Q1,boundary,north_east,2.75,0.4,0.8,False,25.908700026728752,5,0,0,,
v12_mpcdiag_reflsig_iid_20260801_02_0009__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_02_0009,9115dd2676f377677df90dd391de0993e0d5a54d00714e9cb5d23f349fc26dc2,oracle_diagnosis,Q1,boundary,north_east,2.75,0.4,0.8,True,0.5785974222952177,3,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_02_0009__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_02_0009,9115dd2676f377677df90dd391de0993e0d5a54d00714e9cb5d23f349fc26dc2,learned_image_diagnostic,Q1,boundary,north_east,2.75,0.4,0.8,True,0.5785974222952177,3,0,0,True,False
