episode_id,setup_id,setup_hash,arm,beam_width_quartile,boundary_status,direction,k,amplitude,width_ratio,strict_success,final_normalized_target_distance,control_steps,saturation_count,constraint_violation_count,all_diagnostic_decisions_correct,any_diagnostic_decision_wrong
v12_mpcdiag_reflsig_iid_20260801_00_0005__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0005,e86768783f21c450c14d991de60da9c0052822ac78c8cbfac8236ff7b8bb81dd,no_diagnosis,Q4,non_boundary,north_west,2.25,0.4,1.0,False,37.433571636080046,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0005__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0005,e86768783f21c450c14d991de60da9c0052822ac78c8cbfac8236ff7b8bb81dd,oracle_diagnosis,Q4,non_boundary,north_west,2.25,0.4,1.0,True,0.9468110166601491,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0005__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0005,e86768783f21c450c14d991de60da9c0052822ac78c8cbfac8236ff7b8bb81dd,learned_image_diagnostic,Q4,non_boundary,north_west,2.25,0.4,1.0,True,0.9468110166601491,2,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0006__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0006,f6ca7add6b59c95242265c4f6c4c33a412d6a98dc567da68d5bf6ca340168301,no_diagnosis,Q4,non_boundary,north_east,2.75,0.5,1.0,False,62.786306035130906,5,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0006__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0006,f6ca7add6b59c95242265c4f6c4c33a412d6a98dc567da68d5bf6ca340168301,oracle_diagnosis,Q4,non_boundary,north_east,2.75,0.5,1.0,True,0.5459907522780441,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0006__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0006,f6ca7add6b59c95242265c4f6c4c33a412d6a98dc567da68d5bf6ca340168301,learned_image_diagnostic,Q4,non_boundary,north_east,2.75,0.5,1.0,True,0.5459907522780441,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0007__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0007,94b4b8df14725ed961e1a5e94e62145724025015ec906c619efec39b4ccc8093,no_diagnosis,Q3,non_boundary,north_east,2.75,0.4,1.0,False,29.388303924878812,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0007__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0007,94b4b8df14725ed961e1a5e94e62145724025015ec906c619efec39b4ccc8093,oracle_diagnosis,Q3,non_boundary,north_east,2.75,0.4,1.0,True,0.8833671665830707,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0007__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0007,94b4b8df14725ed961e1a5e94e62145724025015ec906c619efec39b4ccc8093,learned_image_diagnostic,Q3,non_boundary,north_east,2.75,0.4,1.0,True,0.8833671665830707,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0008__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0008,80232904221542e4d9d199a6dc995a78605f13dbd71637f577f2ab92c5b38f88,no_diagnosis,Q3,non_boundary,south_west,2.75,0.5,0.8,False,39.87342155093802,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0008__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0008,80232904221542e4d9d199a6dc995a78605f13dbd71637f577f2ab92c5b38f88,oracle_diagnosis,Q3,non_boundary,south_west,2.75,0.5,0.8,True,0.37278585249805474,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0008__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0008,80232904221542e4d9d199a6dc995a78605f13dbd71637f577f2ab92c5b38f88,learned_image_diagnostic,Q3,non_boundary,south_west,2.75,0.5,0.8,True,0.37278585249805474,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0009__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0009,c08898f5ea619c02a4dda1cf920ba997297f610ec655b2df231d88e447ab924d,no_diagnosis,Q4,non_boundary,north,2.25,0.4,0.8,False,33.4176398039009,4,0,0,,
v12_mpcdiag_reflsig_iid_20260801_00_0009__secondary_reflection_width_relative__oracle_diagnosis,v12_mpcdiag_reflsig_iid_20260801_00_0009,c08898f5ea619c02a4dda1cf920ba997297f610ec655b2df231d88e447ab924d,oracle_diagnosis,Q4,non_boundary,north,2.25,0.4,0.8,True,0.6899067071544778,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_00_0009__secondary_reflection_width_relative__learned_image_diagnostic,v12_mpcdiag_reflsig_iid_20260801_00_0009,c08898f5ea619c02a4dda1cf920ba997297f610ec655b2df231d88e447ab924d,learned_image_diagnostic,Q4,non_boundary,north,2.25,0.4,0.8,True,0.6899067071544778,1,0,0,True,False
v12_mpcdiag_reflsig_iid_20260801_01_0000__secondary_reflection_width_relative__no_diagnosis,v12_mpcdiag_reflsig_iid_20260801_01_0000,53d5a34d39397c64f41b43da49a6cbf566798bd0fc69de6a29848bd92fa45d02,no_diagnosis,Q3,non_boundary,south_east,2.75,0.5,0.8,False,25.5761833820344,5,0,0,,
