sweep_id,sampling_method,position_field,axis,requested_position_mm,effective_position_mm,displacement_from_reference_mm,step_mm,declared_sensor_pitch_mm,constructed_sensor_coordinate_step_mm,simulation_grid_pitch_mm,selected_center_index,selected_index_min,selected_index_max,selected_index_unique_count,selected_index_signature,center_sensor_coordinate_mm,center_fractional_grid_index,index_boundary_crossed,captured_power,image_sum,image_max,stored_centroid_x_px,sensor_frame_centroid_x_px,image_derived_centroid_x_px,stored_centroid_y_px,sensor_frame_centroid_y_px,image_derived_centroid_y_px,stored_sigma_x_px,sensor_frame_sigma_x_px,image_derived_sigma_x_px,stored_sigma_y_px,sensor_frame_sigma_y_px,image_derived_sigma_y_px,stored_peak_intensity,sensor_frame_peak_intensity,image_derived_peak_intensity,delta_centroid_x_px,tolerance_normalized_delta_centroid_x_px,derivative_centroid_x_px_per_mm,delta_centroid_y_px,tolerance_normalized_delta_centroid_y_px,derivative_centroid_y_px_per_mm,delta_sigma_x_px,tolerance_normalized_delta_sigma_x_px,derivative_sigma_x_px_per_mm,delta_sigma_y_px,tolerance_normalized_delta_sigma_y_px,derivative_sigma_y_px_per_mm,delta_peak_intensity,tolerance_normalized_delta_peak_intensity,derivative_peak_intensity_per_mm,max_tolerance_normalized_delta,exact_image_plateau,raw_image_relative_l1_change,normalized_image_mean_abs_change,normalized_image_relative_l2_change,exact_metric_plateau,requested_action_json,effective_action_json
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9850000000000003,2.9850000000000003,-0.004999999999999893,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,51212d0ee8aef8ea,2.9877526881720433,562.4411833333457,False,5.352846619467788e-07,17695.36072551335,6.690509729299775,612.1907392395391,69.46346651226628,69.89514281450045,504.41398623518165,504.41398623518165,504.4209061704988,87.88249127197624,87.88249127197624,87.79666852659344,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.005, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.005, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9855,2.9855,-0.0045000000000001705,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,4e04b4c500f714b7,2.9882526881720435,562.4497083333458,True,5.338853929566904e-07,17649.103899394726,6.690509729299775,611.930894200622,69.11271238244012,69.54473121800419,504.41398623518165,504.41398623518165,504.4209061704988,87.72368427729018,87.72368427729018,87.63801661686313,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,-0.2598450389170921,0.2598450389170921,-519.6900778341846,0.0,0.0,0.0,-0.15880699468605997,0.07940349734302998,-317.6139893721202,0.0,0.0,0.0,0.0,0.0,0.0,0.2598450389170921,False,0.00261406516861403,6.593510631127882e-06,0.016798837741034384,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0045000000000000005, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0045000000000000005, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.986,2.986,-0.0040000000000000036,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,b6180c4d671e4500,2.9887526881720436,562.4582333333458,True,5.338220083591732e-07,17647.008540799114,6.690509729299775,612.022389399998,69.11329849090697,69.54531675409947,504.41398623518165,504.41398623518165,504.4209061704988,87.73365147801076,87.73365147801076,87.64797408398925,120.80978564386739,120.80978564386739,120.69180733757455,6.690509729299775,6.690509729299775,6.690509729299775,0.0914951993760269,0.0914951993760269,182.99039875205395,0.0,0.0,0.0,0.009967200720581104,0.004983600360290552,19.934401441162226,1.4210854715202004e-14,7.105427357601002e-15,2.842170943040403e-11,0.0,0.0,0.0,0.0914951993760269,False,0.00013832154998080125,3.479792812617797e-07,0.0008316070962735864,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.004, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.004, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9865000000000004,2.9865000000000004,-0.0034999999999998366,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,9db5fe86e27531b4,2.989252688172044,562.4667583333459,True,5.265732869817983e-07,17407.38138782804,6.690509729299775,612.7713567583805,69.77135675838042,70.2027323865459,504.41398623518165,504.41398623518165,504.4209061704988,88.10592430751385,88.10592430751385,88.01988336580726,120.80978564386739,120.80978564386739,120.69180733757455,6.690509729299775,6.690509729299775,6.690509729299775,0.7489673583825152,0.7489673583825152,1497.9347167650317,0.0,0.0,0.0,0.37227282950308904,0.18613641475154452,744.5456590061788,0.0,0.0,0.0,0.0,0.0,0.0,0.7489673583825152,False,0.013578910692827248,3.415677886264421e-05,0.09628574566372615,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0035, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0035, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.987,2.987,-0.0030000000000001137,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,636a6304c34e6dc2,2.989752688172043,562.4752833333458,True,5.280323874570449e-07,17455.61611428248,6.690509729299775,613.1624252067331,70.07151611582401,70.50259861961717,504.41398623518165,504.41398623518165,504.4209061704988,88.15280139374946,88.15280139374946,88.06671467363836,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.39106844835259835,0.39106844835259835,782.1368967051974,0.0,0.0,0.0,0.04687708623561093,0.023438543117805466,93.75417247122195,-1.4210854715202004e-14,7.105427357601002e-15,-2.842170943040403e-11,0.0,0.0,0.0,0.39106844835259835,False,0.006096154218983377,1.5126215029482309e-05,0.036696493932861625,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.003, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.003, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9875000000000003,2.9875000000000003,-0.0024999999999999467,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,c45acd2a5f8ac84f,2.9902526881720433,562.4838083333458,True,5.28346320518474e-07,17465.994066726416,6.690509729299775,613.3112926016325,70.12947441981436,70.56050032370143,504.41398623518165,504.41398623518165,504.4209061704988,88.15557512306856,88.15557512306856,88.06948569423744,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.14886739489941192,0.14886739489941192,297.73478979882407,0.0,0.0,0.0,0.002773729319102358,0.001386864659551179,5.547458638204721,0.0,0.0,0.0,0.0,0.0,0.0,0.14886739489941192,False,0.0007843498892818237,1.951577947508449e-06,0.005395074357134114,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0025, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0025, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9880000000000004,2.9880000000000004,-0.0019999999999997797,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,c28e9aefdeaf607d,2.990752688172044,562.4923333333459,True,5.282132029432288e-07,17461.59348572657,6.690509729299775,613.3974825280337,70.12475525530635,70.55578576775224,504.41398623518165,504.41398623518165,504.4209061704988,88.16046302070988,88.16046302070988,88.07436881854122,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.0861899264011754,0.0861899264011754,172.37985280235094,0.0,0.0,0.0,0.004887897641324912,0.002443948820662456,9.775795282649833,0.0,0.0,0.0,0.0,0.0,0.0,0.0861899264011754,False,0.00025195136234617714,6.272647745262074e-07,0.0016072869271053403,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.002, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.002, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9885,2.9885,-0.0015000000000000568,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,f3de5e13eb78cf4f,2.9912526881720436,562.5008583333458,True,5.227466913891995e-07,17280.882359973537,6.690509729299775,614.0001668646762,70.63653050103977,71.06706123297226,504.41398623518165,504.41398623518165,504.4209061704988,88.37588212953382,88.37588212953382,88.28957755714168,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,0.6026843366424828,0.6026843366424828,1205.3686732849665,0.0,0.0,0.0,0.21541910882393722,0.10770955441196861,430.8382176478748,0.0,0.0,0.0,0.0,0.0,0.0,0.6026843366424828,False,0.010349062695838752,2.5758808565033707e-05,0.06010234523113832,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0015, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0015, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9890000000000003,2.9890000000000003,-0.0009999999999998899,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,d2d9ddea9e1a4dbf,2.9917526881720433,562.5093833333458,True,5.223920032276101e-07,17269.157131491243,6.690509729299775,613.9081129300616,70.4535674755162,70.88427688227841,504.41398623518165,504.41398623518165,504.4209061704988,88.19551281468007,88.19551281468007,88.10938438419699,120.80978564386737,120.80978564386737,120.69180733757453,6.690509729299775,6.690509729299775,6.690509729299775,-0.09205393461456879,0.09205393461456879,-184.10786922913772,0.0,0.0,0.0,-0.18036931485374907,0.09018465742687454,-360.73862970749843,0.0,0.0,0.0,0.0,0.0,0.0,0.09205393461456879,False,0.005708773803836129,1.4062082105729014e-05,0.031593218316188006,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.001, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.001, ""camera_y_delta_mm"": 0.0}"
v12_absolute_actuator_limit_camera_x_mm,production_searchsorted,camera_x_mm,x,2.9895,2.9895,-0.000500000000000167,0.0004999999999999996,0.0055,0.005505376344086021,0.058651026392960576,563,515,611,97,75cdfecf728d382e,2.992252688172043,562.5179083333458,True,5.228409646350779e-07,17283.998830911667,6.690509729299775,614.0811790692369,70.53572452378233,70.96635369905198,504.41398623518165,504.41398623518165,504.4209061704988,88.20667518081376,88.20667518081376,88.1205358495825,120.80978564386739,120.80978564386739,120.69180733757455,6.690509729299775,6.690509729299775,6.690509729299775,0.17306613917526192,0.17306613917526192,346.13227835052413,0.0,0.0,0.0,0.011162366133689261,0.0055811830668446305,22.32473226737854,1.4210854715202004e-14,7.105427357601002e-15,2.842170943040403e-11,0.0,0.0,0.0,0.17306613917526192,False,0.0010461572557718699,2.5751883134718712e-06,0.0072746370685543935,False,"{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0004999999999999996, ""camera_y_delta_mm"": 0.0}","{""lens_x_delta_mm"": 0.0, ""lens_y_delta_mm"": 0.0, ""camera_x_delta_mm"": -0.0004999999999999996, ""camera_y_delta_mm"": 0.0}"
