sampling_method,image_sum,captured_power,centroid_x_px,centroid_y_px,sigma_x_px,sigma_y_px,peak_intensity
production_searchsorted,51854.872241280784,1.5686098852987437e-06,505.5998424215558,504.3139154721346,121.41027163922294,120.89739679757508,6.690509729299775
bilinear_intensity,51808.96428712022,1.5672211696853867e-06,510.640686628091,509.52144935741416,121.42857339886795,120.92547706671196,6.564859507554248
bilinear_complex_field,23309.29551791579,7.051061894169526e-07,512.4850530051541,509.42321959795487,110.82722283512287,110.20913765687929,6.14757036991292
